station_id,RMSE,MAE,Bias,NRMSE
PUNDIBARI,12.3627405,6.4902806,1.1769208,1.3998316881186863
PUNDIBARI AMFU,12.760304,6.403945,1.4206382,1.41265760183229
PURIHANSA,6.3755913,3.120186,0.18301818,1.6133925089795418
PURULIA,6.2371974,3.11753,0.24745168,1.6020825098563682
RAGHUNATHPUR,5.62561,2.8678246,0.5212244,1.5654186469767413
RAIDIGHI,9.715082,3.877725,-0.84388,1.8878004984774925
RAIGANJ,7.6269636,3.717932,0.20479299,1.5848474619326023
RAIGANJ(PTO),7.6269627,3.7179315,0.2047935,1.5848472637635278
RAIPUR,6.2822595,3.0822406,0.28427613,1.6451991696821946
RAJNAGAR,5.8250504,2.9680097,0.2878066,1.528772778053062
RAMAN,14.405012,7.002762,0.08157697,1.3990342226794117
RAMNAGAR,9.150348,3.6441755,-0.38206372,1.9613541988062941
RAMPURHAT,5.902316,2.9851282,0.25749698,1.5236064550730484
RANAGHAT,8.280169,3.5589728,-0.16105674,1.8783809752296579
RANGO,14.28815,6.3945737,-2.025927,1.196847669835576
RANIBANDH,6.17084,3.0407596,0.37653568,1.654690189227069
RATUA,7.025855,3.6709917,0.53391594,1.6191944606350759
RENDIA,5.985434,3.0666285,0.12588993,1.5094875489657076
RESSISUM,12.510641,6.1347218,0.3266379,1.312709270371889
SABONG,7.3386908,3.36904,-0.10202584,1.6907318401777327
SAGARDIGHI,6.1759963,3.1562083,0.22718377,1.5474274829804011
SALAR,6.615077,3.2214286,0.07902851,1.618618168256546
SALBANI,6.483255,3.1336305,0.2098538,1.6357857769900017
SALBARI,11.601125,6.085037,1.086888,1.3511197706784295
SALBUNDH/J.PURI,6.2995553,3.0558474,0.22322735,1.6260136140312074
SALTORA,5.5463533,2.9084156,0.3705536,1.4874081489920599
SAMSING,13.217868,6.086006,-0.20106623,1.3424622721195174
SANDAKPHU,14.171897,6.580943,0.4703544,1.4185513162699421
SANKOS,14.8123865,6.6582384,0.42003617,1.4709838873273713
SARANGA,6.4362197,3.1418767,0.23602523,1.6620019159987915
SERAMPORE,6.8015842,3.329986,-0.17964076,1.5397870426483262
SEVOK,12.785493,6.0227704,0.9629252,1.5473518116953988
SHAMSUNDAR ROYNA,5.514128,2.9702377,0.39965716,1.4974802596585826
SHANTI NIKETAN,6.346032,3.117945,0.17929804,1.6125219859089053
SHEKHAMPORE,6.254946,3.1035995,0.2861689,1.639336258490581
SILDA BELPAHARI,6.736782,3.205765,0.27681702,1.7582968469732652
SILIGURI,11.502985,5.734113,1.5869188,1.4948724935724345
SIMLAPAL,6.455325,3.139692,0.23555592,1.6709512230802253
SIMULA(CWC),6.241803,3.1178842,0.25270665,1.6032655450029558
SINGLA BAZAR,15.201089,7.5096107,-0.70351636,1.4297154229857907
SINGUR,6.7608614,3.3009548,-0.11420361,1.5586434383020038
SIROMANIPUR,6.6843367,3.0939257,0.1716251,1.7008730168064763
SONAMUKHI,6.280186,3.057648,0.15724805,1.5942500793602783
SUKHIAPOKHRI,12.778198,6.2383156,0.39080673,1.3267991357627156
SURI,5.8295326,2.9717088,0.29071897,1.5299491406342585
